Ticker,Date,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
ADANIENT.NS,2026-07-22,Conglomerate,3182.0,3201.89990234375,3139.0,3147.699951171875,977011,-0.011,-34.3,-1.08,3127.6050048828124,2994.173203125,2430.044436035156,3118.6491903082283,3089.9350923845436,58.63712192520825,68.33970425207269,-9.702582326864444,24.3018763894688,56.79558463408225,55.407850320057015,66.761376294972,-44.592149679942985,3263.663947516379,3127.6050048828124,2991.546062249246,8.700519561846933,74.74698755392751,89552970,1799412.05,1,Weak Buy,Neutral
ADANIPORTS.NS,2026-07-22,Ports,1837.0999755859375,1847.199951171875,1811.9000244140625,1819.4000244140625,1436741,-0.0147,-17.7,-0.96,1826.8549926757812,1810.895576171875,1563.0738854980468,1825.631743958175,1820.553777353389,9.054729069124733,11.050262993546218,-1.9955339244214851,13.566077243460763,49.97602481347082,33.54964323573367,49.52120315972352,-66.45035676426633,1881.9775223903405,1826.8549926757812,1771.732462961222,6.034691306705379,35.3432407823261,74064402,1584621.9,1,Weak Buy,Neutral
APOLLOHOSP.NS,2026-07-22,Healthcare,8926.0,8945.5,8867.0,8938.0,158322,0.0013,12.0,0.13,8799.75,8509.96,7715.264641113281,8786.452974381653,8730.767165926392,126.1833945815597,134.28272020646475,-8.099325624905049,31.059544317269268,65.22323386317703,77.02265372168284,76.70147157599074,-22.977346278317153,9032.964386348534,8799.75,8566.535613651466,5.300477544215106,132.6013003576235,3426614,291423.6,1,Weak Buy,Neutral
ASIANPAINT.NS,2026-07-22,Paints,2683.0,2700.0,2665.60009765625,2692.800048828125,528072,0.0001,9.8,0.37,2684.444970703125,2663.716328125,2559.055681152344,2681.9319779137354,2676.898336085148,7.541813453435225,10.084333845776813,-2.542520392341588,19.36957945987152,53.81626885941964,61.8630939640411,61.53427333047946,-38.1369060359589,2754.8710707151486,2684.444970703125,2614.0188706911013,5.2469766212847535,48.20546654757785,32065178,1104959.9,1,Weak Buy,Neutral
AXISBANK.NS,2026-07-22,Banking,1258.199951171875,1258.199951171875,1230.5,1238.4000244140625,8354873,-0.0157,-19.8,-1.57,1323.4140258789062,1309.4699853515624,1284.161094970703,1307.7929837343734,1311.4357876278425,-16.16957008485747,-4.83388366270176,-11.335686422155709,20.193047588824378,31.72386442570314,5.585350069602533,7.179600337530851,-94.41464993039747,1399.175769157195,1323.4140258789062,1247.6522826006174,11.449439373740034,29.859268106319025,51956849,7525548.1,-2,Sell,Neutral
BAJAJ-AUTO.NS,2026-07-22,Auto,10610.0,11031.0,10575.0,10998.5,1448919,0.0572,388.5,3.66,10135.325,10191.26078125,9463.350815429687,10276.257680877392,10231.970658943677,153.6261899373403,71.15765460366242,82.46853533367789,22.973424109415454,71.55815053455709,97.42063492063492,92.45057645531578,-2.5793650793650795,10782.875405373885,10135.325,9487.774594626117,12.77808862318444,236.3611574102812,8659412,450940.45,0,Neutral,Overbought
BAJAJFINSV.NS,2026-07-22,NBFC,1895.0999755859375,1901.0,1868.0,1876.4000244140625,1023896,-0.0127,-18.7,-0.99,1849.6495361328125,1788.0853466796875,1914.7534014892578,1848.6120028961595,1837.731394357173,27.166809852481947,28.925240702316156,-1.758430849834209,23.022148154339686,56.92373038595364,55.22845118178934,68.51494924513052,-44.77154881821066,1948.3332287424785,1849.6495361328125,1750.9658435231465,10.670528733350281,40.87957031705877,2206920,1289635.6,-1,Weak Sell,Neutral
BAJFINANCE.NS,2026-07-22,NBFC,1064.0,1070.5999755859375,1056.0999755859375,1060.300048828125,6756917,-0.0083,-3.7,-0.35,1021.9260101318359,957.4465747070312,964.7823281860351,1020.3124332775519,1008.9447901639057,28.81139146339933,26.93144003177057,1.8799514316287613,40.66659949928253,67.30111754361016,82.44088790516525,90.34709787675702,-17.55911209483474,1076.9632459509012,1021.9260101318359,966.8887743127707,10.771276055879044,22.910562462155813,131923228,8621274.75,3,Strong Buy,Neutral
BHARTIARTL.NS,2026-07-22,Telecom,1942.4000244140625,1956.0,1939.5,1949.0,6589523,0.0003,6.6,0.34,1903.3350036621093,1874.67,1951.132504272461,1910.118380316346,1902.1512889471658,21.293726826779448,18.765670031063756,2.528056795715692,22.808341272973298,60.88910847762497,81.29813483595716,81.52930006589604,-18.70186516404285,1971.762576246578,1903.3350036621093,1834.9074310776407,7.190281527194177,32.382729899839504,-125367541,6083629.85,1,Weak Buy,Neutral
BPCL.NS,2026-07-22,Energy,317.5,321.70001220703125,308.1000061035156,314.0,9783716,-0.0168,-3.5,-1.1,309.5625,303.3960009765625,329.33699127197264,310.46646136901103,309.3544588402503,3.0288003718473533,2.3871835358969538,0.6416168359503995,14.284159266038968,54.88138797996436,64.888916015625,80.28194593184166,-35.111083984375,319.02299629959055,309.5625,300.10200370040945,6.112172048998535,8.033848398111877,-117966468,7072810.55,1,Weak Buy,Neutral
