Date,Ticker,Strategy_Equity,Close,BuyHold_Equity
2025-07-24,ADANIENT.NS,100000.0,2607.234130859375,100000.0
2025-07-25,ADANIENT.NS,100000.0,2548.96044921875,97764.92
2025-07-28,ADANIENT.NS,100000.0,2521.1728515625,96699.13
2025-07-29,ADANIENT.NS,100000.0,2546.76123046875,97680.57
2025-07-30,ADANIENT.NS,100000.0,2531.767822265625,97105.5
2025-07-31,ADANIENT.NS,100000.0,2429.613525390625,93187.39
2025-08-01,ADANIENT.NS,100000.0,2349.849365234375,90128.05
2025-08-04,ADANIENT.NS,100000.0,2362.543701171875,90614.94
2025-08-05,ADANIENT.NS,100000.0,2327.159423828125,89257.78
2025-08-06,ADANIENT.NS,100000.0,2299.27197265625,88188.17
2025-08-07,ADANIENT.NS,100000.0,2248.794677734375,86252.12
2025-08-08,ADANIENT.NS,100000.0,2177.126708984375,83503.31
2025-08-11,ADANIENT.NS,100000.0,2282.37939453125,87540.25
2025-08-12,ADANIENT.NS,100000.0,2287.17724609375,87724.28
2025-08-13,ADANIENT.NS,99646.02,2279.0810546875,87413.75
2025-08-14,ADANIENT.NS,99711.57,2280.580322265625,87471.25
2025-08-18,ADANIENT.NS,101984.1,2332.55712890625,89464.81
2025-08-19,ADANIENT.NS,104378.99,2387.33251953125,91565.71
2025-08-20,ADANIENT.NS,104322.18,2386.033203125,91515.88
2025-08-21,ADANIENT.NS,103889.52,2376.137451171875,91136.33
2025-08-22,ADANIENT.NS,101603.88,2323.86083984375,89131.27
2025-08-25,ADANIENT.NS,100642.42,2301.87060546875,88287.84
2025-08-26,ADANIENT.NS,99292.03,2270.984619140625,87103.21
2025-08-28,ADANIENT.NS,99431.87,2274.18310546875,87225.89
2025-08-29,ADANIENT.NS,98098.95,2243.69677734375,86056.59
2025-09-01,ADANIENT.NS,99825.2,2283.17919921875,87570.93
2025-09-02,ADANIENT.NS,99388.17,2273.18359375,87187.55
2025-09-03,ADANIENT.NS,100021.85,2287.677001953125,87743.44
2025-09-04,ADANIENT.NS,99589.21,2277.78173828125,87363.91
