Ticker,Company,Sector,Industry,Market_Cap_Cr,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,EV_EBITDA,ROE_Pct,ROA_Pct,Profit_Margin_Pct,Operating_Margin_Pct,Revenue_Growth_Pct,Earnings_Growth_Pct,Debt_To_Equity,Current_Ratio,Quick_Ratio,EPS,Book_Value,Dividend_Yield_Pct,Current_Price,52W_High,52W_Low,Fund_Score,Fund_Grade
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,132514.22,7.736343,7.8477917,1.3233179,0.2682726,5.676,,,3.47,-4.05,34.4,,54.332,,,40.09,234.373,645.0,310.15,391.65,266.6,37,D
GRASIM.NS,Grasim Industries Limited,Cement,Building Materials,209539.39,42.55372,21.039593,2.0251243,1.1944281,13.606,6.29,3.34,2.83,17.3,10.5,60.8,135.044,0.947,0.292,72.6,1525.536,32.0,3089.4,3246.0,2502.5,17,F
ADANIENT.NS,Adani Enterprises Limited,Conglomerate,Thermal Coal,430648.67,40.985916,47.003513,4.834265,4.2864003,37.014,13.66,2.18,9.3,5.53,20.3,,119.56,1.035,0.421,73.84,626.031,4.0,3026.4,3245.0,1753.0,25,D
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Ports,Marine Shipping,407409.08,30.404058,22.919325,4.2456694,10.517645,20.787,15.59,6.76,33.06,41.18,26.5,3.6,64.051,1.394,0.987,58.16,416.495,42.0,1768.3,1891.1,1290.5,50,C
BAJAJFINSV.NS,Bajaj Finserv Ltd.,NBFC,Financial Conglomerates,300034.27,30.75045,20.27394,3.85081,2.000158,12.784,14.6,4.92,6.53,36.19,6.1,5.9,256.404,0.221,0.11,61.03,487.352,7.0,1876.7,2195.0,1597.0,15,F
BAJAJ-AUTO.NS,Bajaj Auto Limited,Auto,Auto Manufacturers,305605.01,26.44522,23.642485,8.010952,4.223294,19.445,,,16.25,21.51,64.0,45.8,56.352,,,420.87,1389.348,133.0,11130.0,11331.0,7858.5,30,D
HEROMOTOCO.NS,Hero MotoCorp Limited,Auto,Auto Manufacturers,100268.58,17.482817,15.835198,4.6395855,2.1148694,12.951,28.03,12.54,12.11,13.22,30.2,25.7,3.57,1.909,1.556,286.63,1080.075,358.0,5011.1,6388.5,4195.0,62,B
EICHERMOT.NS,Eicher Motors Limited,Auto,Auto Manufacturers,209386.72,37.995617,28.746052,8.336338,8.94526,35.202,23.77,10.42,23.56,21.09,19.1,11.5,2.048,1.902,1.287,200.76,915.03,106.0,7628.0,8230.0,5353.0,57,B
BRITANNIA.NS,Britannia Industries Limited,FMCG,Packaged Foods,129575.09,51.1992,41.517445,25.374283,6.7873373,36.516,53.31,21.59,13.27,16.49,6.5,21.1,26.875,1.119,0.708,105.07,212.006,168.0,5379.5,6336.0,5035.0,30,D
HINDALCO.NS,Hindalco Industries Limited,Metals,Aluminum,209286.24,15.872053,8.903033,1.5323005,0.7611959,8.025,10.29,5.54,4.87,11.06,20.4,-50.9,72.598,1.21,0.45,59.4,615.284,52.0,942.8,1176.0,657.5,42,C
UPL.NS,UPL Limited,Agrochemicals,Agricultural Inputs,50924.15,26.967323,12.568688,1.4657866,0.982352,9.501,5.61,4.33,3.71,14.95,17.7,24.4,57.128,1.217,0.803,22.34,411.008,99.0,602.45,812.2,563.15,22,F
SBILIFE.NS,SBI Life Insurance Company Limited,Insurance,Insurance - Life,186466.09,75.3996,53.45108,9.770073,1.6605597,66.123,13.7,0.35,2.2,21.17,-82.2,-1.1,,1.55,0.392,24.65,190.234,15.0,1858.6,2132.0,1700.4,17,F
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Insurance,Insurance - Life,120553.26,60.266014,46.184235,6.127867,1.1565845,50.115,10.8,0.38,1.9,1.99,15.2,11.9,15.842,0.991,0.085,9.21,90.578,38.0,555.05,815.0,543.0,20,F
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,126609.58,65.37119,41.08418,13.352389,5.0185137,35.401,21.5,8.44,7.7,11.91,18.1,35.6,85.146,1.065,0.896,134.7,659.47,23.0,8805.5,9009.0,6696.5,30,D
TATACONSUM.NS,Tata Consumer Products Limited,FMCG,Packaged Foods,107674.13,69.65429,45.304,5.296388,5.306646,40.776,6.94,4.03,7.6,11.15,17.9,21.5,12.159,1.568,0.898,15.62,205.423,90.0,1088.0,1282.7,1007.2,17,F
INDUSINDBK.NS,IndusInd Bank Limited,Banking,Banks - Regional,77605.52,58.625664,12.681475,1.1798856,4.487814,,,,7.65,27.31,1.0,71.7,,,,16.99,844.192,15.0,996.05,1077.85,710.6,7,F
M&M.NS,Mahindra & Mahindra Limited,Auto,Auto Manufacturers,379608.97,20.782278,19.84201,3.795084,1.8811293,12.132,18.75,7.15,8.47,17.09,30.2,43.5,125.278,1.267,0.548,152.12,833.025,102.0,3161.4,3839.9,2896.0,40,C
LTF.NS,L&T Finance Limited,NBFC,Credit Services,75771.16,23.886255,15.472874,2.6979284,7.874873,,,,33.08,45.95,29.3,28.2,393.442,,,12.66,112.086,90.0,302.4,338.6,194.4,47,C
