Date,Ticker,Strategy_Equity,Close,BuyHold_Equity
2025-07-17,ADANIENT.NS,100000.0,2615.4306640625,100000.0
2025-07-18,ADANIENT.NS,100000.0,2594.93994140625,99216.54
2025-07-21,ADANIENT.NS,100000.0,2618.329345703125,100110.83
2025-07-22,ADANIENT.NS,100000.0,2586.6435546875,98899.34
2025-07-23,ADANIENT.NS,100000.0,2613.33154296875,99919.74
2025-07-24,ADANIENT.NS,100000.0,2607.234130859375,99686.61
2025-07-25,ADANIENT.NS,100000.0,2548.96044921875,97458.54
2025-07-28,ADANIENT.NS,100000.0,2521.1728515625,96396.09
2025-07-29,ADANIENT.NS,100000.0,2546.76123046875,97374.45
2025-07-30,ADANIENT.NS,100000.0,2531.767822265625,96801.18
2025-07-31,ADANIENT.NS,100000.0,2429.613525390625,92895.35
2025-08-01,ADANIENT.NS,100000.0,2349.849365234375,89845.6
2025-08-04,ADANIENT.NS,100000.0,2362.543701171875,90330.96
2025-08-05,ADANIENT.NS,100000.0,2327.159423828125,88978.06
2025-08-06,ADANIENT.NS,98801.65,2299.27197265625,87911.79
2025-08-07,ADANIENT.NS,96632.6,2248.794677734375,85981.81
2025-08-08,ADANIENT.NS,93552.97,2177.126708984375,83241.61
2025-08-11,ADANIENT.NS,98075.76,2282.37939453125,87265.91
2025-08-12,ADANIENT.NS,98281.93,2287.17724609375,87449.35
2025-08-13,ADANIENT.NS,97934.03,2279.0810546875,87139.8
2025-08-14,ADANIENT.NS,97998.46,2280.580322265625,87197.12
2025-08-18,ADANIENT.NS,100231.94,2332.55712890625,89184.44
2025-08-19,ADANIENT.NS,102585.69,2387.33251953125,91278.75
2025-08-20,ADANIENT.NS,102529.86,2386.033203125,91229.08
2025-08-21,ADANIENT.NS,102104.63,2376.137451171875,90850.71
2025-08-22,ADANIENT.NS,99858.26,2323.86083984375,88851.94
2025-08-25,ADANIENT.NS,98913.32,2301.87060546875,88011.15
2025-08-26,ADANIENT.NS,97586.12,2270.984619140625,86830.24
2025-08-28,ADANIENT.NS,97723.56,2274.18310546875,86952.53
2025-08-29,ADANIENT.NS,96413.54,2243.69677734375,85786.9
2025-09-01,ADANIENT.NS,98110.13,2283.17919921875,87296.49
