Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
2025-07-22,ADANIENT.NS,Conglomerate,2624.826434208216,2628.8246465984803,2580.4463742888947,2586.6435546875,387055,,-38.18,-1.45,,,,,,,,,0.0,,,,,,,,,0.0,387055,,0,Neutral,Neutral
2025-07-23,ADANIENT.NS,Conglomerate,2599.5376615776436,2624.7263505348947,2592.3409281657882,2613.33154296875,316424,0.0103,13.79,0.53,,,,,,,,,0.0,,,,,,,,,0.0,703479,,0,Neutral,Neutral
2025-07-24,ADANIENT.NS,Conglomerate,2614.2310023512105,2623.0271181758203,2593.8402173304657,2607.234130859375,253782,-0.0023,-7.0,-0.27,,,,,,,,,0.0,,,,,,,,,0.0,449697,,0,Neutral,Neutral
2025-07-25,ADANIENT.NS,Conglomerate,2603.8358166087614,2615.8304537678036,2542.963130639229,2548.96044921875,424612,-0.0224,-54.88,-2.11,,,,,,,,,0.0,,,,,,,,,0.0,25085,,0,Neutral,Neutral
2025-07-28,ADANIENT.NS,Conglomerate,2547.8608707233648,2583.844782589211,2511.4772352271734,2521.1728515625,428409,-0.0109,-26.69,-1.05,,,,,,,,,0.0,,,,,,,,,0.0,-403324,,0,Neutral,Neutral
2025-07-29,ADANIENT.NS,Conglomerate,2527.869774605656,2556.256984861298,2506.3793830856794,2546.76123046875,424781,0.0101,18.89,0.75,,,,,,,,,0.0,,,,,,,,,0.0,21457,,0,Neutral,Neutral
2025-07-30,ADANIENT.NS,Conglomerate,2546.7611180128606,2551.4592125721997,2523.871450784683,2531.767822265625,262063,-0.0059,-14.99,-0.59,,,,,,,,,0.0,,,,,,,,,0.0,-240606,,0,Neutral,Neutral
2025-07-31,ADANIENT.NS,Conglomerate,2508.778077348053,2518.87366066411,2421.517292185964,2429.613525390625,1457616,-0.0403,-79.16,-3.16,,,,,,,,,0.0,,,,,,,,,0.0,-1698222,,0,Neutral,Neutral
2025-08-01,ADANIENT.NS,Conglomerate,2423.9163500803693,2443.8073598354285,2331.957461747423,2349.849365234375,976341,-0.0328,-74.07,-3.06,,,,,,,,,0.0,,,,,,,,,0.0,-2674563,,0,Neutral,Neutral
2025-08-04,ADANIENT.NS,Conglomerate,2358.945212557066,2373.6385936764377,2337.154907126297,2362.543701171875,576426,0.0054,3.6,0.15,,,,,,,,,0.0,,,,,,,,,0.0,-2098137,,0,Neutral,Neutral
2025-08-05,ADANIENT.NS,Conglomerate,2368.9407912308193,2368.9407912308193,2314.9649251015094,2327.159423828125,576742,-0.015,-41.78,-1.76,,,,,,,,,0.0,,,,,,,,,0.0,-2674879,,0,Neutral,Neutral
2025-08-06,ADANIENT.NS,Conglomerate,2332.856809344485,2346.8505523057943,2294.973845654689,2299.27197265625,631582,-0.012,-33.58,-1.44,,,,,,,,,0.0,,,,,,,,,0.0,-3306461,,0,Neutral,Neutral
2025-08-07,ADANIENT.NS,Conglomerate,2288.976664701431,2293.9744303448842,2201.815680685918,2248.794677734375,1529410,-0.022,-40.18,-1.76,,,,,,,,,0.0,,,,,,,,,0.0,-4835871,,0,Neutral,Neutral
2025-08-08,ADANIENT.NS,Conglomerate,2245.9958200965802,2259.88951060117,2163.832603922048,2177.126708984375,2552736,-0.0319,-68.87,-3.07,,,,,,,,,0.0,9.09956775204283,2.8589962498730213,,-97.14100375012698,,,,,64.02129208598278,-7388607,,2,Buy,Oversold
2025-08-11,ADANIENT.NS,Conglomerate,2195.018553362488,2300.9711793444662,2182.024363383566,2282.37939453125,2376286,0.0483,87.36,3.98,,,,,,,,,0.0,29.998050806664807,25.721067269932412,,-74.2789327300676,,,,,68.2943762484191,-5012321,,2,Buy,Oversold
2025-08-12,ADANIENT.NS,Conglomerate,2279.081012786804,2313.6654019869634,2265.9867701854805,2287.17724609375,1075526,0.0021,8.1,0.36,,,,,,,,,0.0,30.77928848223678,26.86108791437698,18.480383811394137,-73.13891208562302,,,,,66.82182307363794,-3936795,,0,Neutral,Neutral
2025-08-13,ADANIENT.NS,Conglomerate,2297.972510115865,2313.865306331378,2244.396367900298,2279.0810546875,833679,-0.0035,-18.89,-0.82,,,,,,,,,0.0,30.167458972836926,25.49756615098516,26.026573778431516,-74.50243384901484,,,,,67.01090274202666,-4770474,,0,Neutral,Neutral
2025-08-14,ADANIENT.NS,Conglomerate,2286.9773641331158,2302.9702128333474,2266.686388538396,2280.580322265625,998109,0.0007,-6.4,-0.28,,,,,,,,,0.0,30.443195645404202,27.796269792475098,26.718307952612417,-72.2037302075249,,,,,64.81611142437843,-3772365,,0,Neutral,Neutral
2025-08-18,ADANIENT.NS,Conglomerate,2308.567855358492,2358.9452321961794,2298.972048326785,2332.55712890625,988629,0.0228,23.99,1.04,,,,,,,,,0.0,39.37973986466273,42.99542362285635,32.096419855438874,-57.00457637714365,,,,,65.78388274624815,-2783736,,0,Neutral,Neutral
2025-08-19,ADANIENT.NS,Conglomerate,2338.8541943212863,2394.529497055675,2313.0659196409943,2387.33251953125,1069432,0.0235,48.48,2.07,2399.966931152344,,,2380.3009274696133,,,,,0.0,47.094018734102384,57.65855868035095,42.8167506985608,-42.34144131964904,2665.2981645370683,2399.966931152344,2134.6356977676196,22.111240779249034,66.90386093685049,-1714304,906982.0,0,Neutral,Neutral
2025-08-20,ADANIENT.NS,Conglomerate,2378.936278798334,2404.9246583146187,2371.0399072502205,2386.033203125,780025,-0.0005,7.1,0.3,2389.936413574219,,,2380.8468584844118,,,,,0.0,46.941421067089735,62.58448001532994,54.41282077284575,-37.415519984670055,2641.0686808724886,2389.936413574219,2138.8041462759493,21.015811623430945,64.54535308881819,-2494329,926630.5,0,Neutral,Neutral
