Ticker,Company,Shares,Price,Value_INR,Weight_Pct
EICHERMOT.NS,EICHERMOT,3,7721.5,23164.5,15.0
BAJAJ-AUTO.NS,BAJAJ-AUTO,2,11283.5,22567.0,15.0
NESTLEIND.NS,NESTLEIND,14,1443.5,20209.0,14.66
HINDALCO.NS,HINDALCO,21,942.8,19798.8,14.32
TITAN.NS,TITAN,4,4697.3,18789.2,15.0
COALINDIA.NS,COALINDIA,38,427.4,16241.2,11.47
LTF.NS,LTF,26,305.05,7931.3,5.54
SUNPHARMA.NS,SUNPHARMA,4,1954.0,7816.0,4.92
SBIN.NS,SBIN,3,1015.0,3045.0,2.13
