Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct
2026-08-19,ADANIENT.NS,Conglomerate,3012.699951171875,3019.0,2967.300048828125,2990.300048828125,938629,-0.0041,-22.4,-0.74
2026-08-19,ADANIPORTS.NS,Ports,1684.0,1684.0,1667.0,1681.9000244140625,1216853,-0.0003,-2.1,-0.12
2026-08-19,APOLLOHOSP.NS,Healthcare,8817.0,8862.5,8695.5,8750.0,298414,-0.0076,-67.0,-0.76
2026-08-19,ASIANPAINT.NS,Paints,2625.0,2634.89990234375,2601.0,2630.800048828125,742374,0.0009,5.8,0.22
2026-08-19,AXISBANK.NS,Banking,1243.0999755859375,1245.0,1224.0,1235.0,3061763,-0.0064,-8.1,-0.65
2026-08-19,BAJAJ-AUTO.NS,Auto,11607.0,11722.0,11534.0,11645.0,222808,0.0033,38.0,0.33
2026-08-19,BAJAJFINSV.NS,NBFC,2002.0999755859375,2013.0,1985.0,2012.0,920114,0.0004,9.9,0.49
2026-08-19,BAJFINANCE.NS,NBFC,1093.9000244140625,1093.9000244140625,1076.4000244140625,1080.199951171875,2877352,-0.0129,-13.7,-1.25
2026-08-19,BHARTIARTL.NS,Telecom,1924.800048828125,1941.800048828125,1922.0,1922.0,6241263,-0.0063,-2.8,-0.15
2026-08-19,BPCL.NS,Energy,310.29998779296875,311.8500061035156,304.70001220703125,307.0,4752824,-0.0106,-3.3,-1.06
2026-08-19,BRITANNIA.NS,FMCG,5495.0,5550.0,5453.0,5453.0,251053,-0.0076,-42.0,-0.76
2026-08-19,CIPLA.NS,Pharma,1429.0,1435.0999755859375,1415.4000244140625,1422.0,433609,-0.0064,-7.0,-0.49
2026-08-19,COALINDIA.NS,Mining,406.95001220703125,407.6000061035156,397.29998779296875,400.0,6026929,-0.017,-6.95,-1.71
2026-08-19,DIVISLAB.NS,Pharma,8600.0,8600.0,8508.0,8560.0,179109,-0.0033,-40.0,-0.47
2026-08-19,DRREDDY.NS,Pharma,1171.9000244140625,1187.199951171875,1168.0,1170.0,1149918,-0.0075,-1.9,-0.16
2026-08-19,EICHERMOT.NS,Auto,8016.5,8060.0,7947.5,7990.5,343979,-0.0035,-26.0,-0.32
2026-08-19,GRASIM.NS,Cement,3278.699951171875,3278.699951171875,3223.0,3270.0,978110,-0.0027,-8.7,-0.27
