Ticker,Date,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Signal_Score,Signal,RSI_Signal
ADANIENT.NS,2026-09-10,Conglomerate,3114.5,3114.5,3041.10009765625,3077.199951171875,1715064,-0.0089,-37.3,-1.2,3006.2000122070312,3052.1800048828127,2527.2834509277345,3005.536941096838,3009.24101432911,-6.9724886981989584,-16.436301922409747,9.463813224210789,21.383629841031,56.074385815409705,71.88228038188949,62.50000889206948,3189.285143164686,3006.2000122070312,2823.1148812493766,12.18050230950807,83.14211862024378,95818996,3,Strong Buy,Neutral
ADANIPORTS.NS,2026-09-10,Ports,1779.9000244140625,1780.0,1750.4000244140625,1768.0,2776869,-0.0039,-11.9,-0.67,1693.8599975585937,1741.4079956054688,1607.561450805664,1707.2337407001103,1709.5525676943082,2.386890366148009,-11.406814560338233,13.793704926486242,22.174007352486246,59.314486506917746,90.71575732326718,91.47843103604045,1768.9975718533506,1693.8599975585937,1618.7224232638368,8.871757335677644,39.24682291674969,56080244,3,Strong Buy,Neutral
APOLLOHOSP.NS,2026-09-10,Healthcare,9000.0,9024.0,8875.0,8900.0,329159,-0.0075,-100.0,-1.11,8787.3,8830.90150390625,7910.489924316406,8806.977083468657,8802.352006179879,11.816785928502213,-1.4821786678671707,13.298964596369384,16.315637724336547,54.602930773928826,71.32947976878613,82.61338491574543,8980.37236985151,8787.3,8594.227630148489,4.394350252102701,151.34219284443927,579229,3,Strong Buy,Neutral
ASIANPAINT.NS,2026-09-10,Paints,2485.10009765625,2498.10009765625,2468.60009765625,2498.10009765625,549310,0.0037,13.0,0.52,2592.505017089844,2666.3219970703126,2577.4548986816408,2581.530581724802,2599.6559417843187,-53.56154789809034,-41.67456503974091,-11.886982858349427,30.20668973099735,31.338137914270874,18.39140819354732,12.112133289981102,2725.73682585968,2592.505017089844,2459.273208320008,10.278229580391875,46.63029322778202,25195146,-3,Strong Sell,Neutral
AXISBANK.NS,2026-09-10,Banking,1242.0999755859375,1255.199951171875,1240.4000244140625,1246.0,4150001,0.0061,3.9,0.31,1248.4800109863281,1264.0288208007812,1287.6888238525391,1253.01779331126,1254.306256870765,-1.223502478809678,-1.5577118758383957,0.33420939702871766,20.482464235364592,47.441902445812374,23.076869572475385,20.990001051261064,1285.623477805472,1248.4800109863281,1211.3365441671842,5.950190069891419,23.198059745363928,109608623,-1,Weak Sell,Neutral
BAJAJ-AUTO.NS,2026-09-10,Auto,11771.0,11820.0,11673.0,11768.0,121394,-0.0019,-3.0,-0.03,11844.35,11308.34,9983.887998046876,11802.358703283,11725.82999202272,139.64133444603067,200.01116734281194,-60.369832896781276,44.62620509143991,51.877114945376064,17.6056338028169,22.848200312989036,12210.345778664567,11844.35,11478.354221335434,6.18009056916701,213.96042423210534,9589501,1,Weak Buy,Neutral
BAJAJFINSV.NS,2026-09-10,NBFC,1932.9000244140625,1942.699951171875,1921.0999755859375,1940.5,652172,0.007,7.6,0.39,1990.1499938964844,1960.5819970703126,1900.50669921875,1975.8937893137092,1974.820760667973,-7.751679642227373,5.002302519579587,-12.75398216180696,22.49239663368013,42.11959372610896,18.04653433866279,9.375697632525016,2051.3664190653217,1990.1499938964844,1928.933568727647,6.151940844316221,34.387074290992395,12268737,-1,Weak Sell,Neutral
BAJFINANCE.NS,2026-09-10,NBFC,1042.5,1048.699951171875,1036.5,1043.5,3902180,0.004,1.0,0.1,1071.315008544922,1067.2880065917968,973.3720645141601,1065.0984768988185,1065.8843775045748,-7.094194249927568,-1.821063275937745,-5.273130973989823,18.662125666501044,40.96536082289151,12.049802016021317,15.00457059512417,1107.5669766266242,1071.315008544922,1035.0630404632197,6.767751369588343,20.054967582998167,65302210,-1,Weak Sell,Neutral
BHARTIARTL.NS,2026-09-10,Telecom,1815.0999755859375,1849.0,1814.0,1839.0,4588009,0.0134,23.9,1.32,1893.1349975585938,1910.286787109375,1908.093735961914,1877.5043707691027,1884.8009988748818,-24.549543943528533,-17.0597550865997,-7.489788856928833,30.760035146840238,42.1060309344015,19.274523678258717,14.560016597589737,1995.6487032071814,1893.1349975585938,1790.6212919100062,10.830047068042195,33.876127275569274,-57676833,-3,Strong Sell,Neutral
BPCL.NS,2026-09-10,Energy,302.95001220703125,306.1000061035156,301.75,303.0,3226482,-0.0018,0.05,0.02,313.9349990844727,314.6779992675781,325.20937850952146,313.2794971324869,313.7267450388838,-2.1218389401254285,-0.3083656502344209,-1.8134732898910075,14.695729273289995,36.2030147912902,15.703986232942665,14.40439016304497,326.0743190970934,313.9349990844727,301.79567907185196,7.733651901204111,7.162917717479232,-95212167,-3,Strong Sell,Neutral
